,title,subtitle,link
51,GUNNERS NEWS,"Moussa Diaby deal gets GREEN LIGHT, Tielemans boost as Aouar deal lined up",https://www.thesun.co.uk/sport/19404272/arsenal-transfer-news-live-moussa-diaby-tielemans-aouar/
52,CHELSEA LATEST,De Jong 'to leave Barcelona NEXT WEEK as Blues launch £59m-plus-Alonso bid',https://www.thesun.co.uk/sport/19207345/chelsea-transfer-news-live-frenkie-de-jong-fofana-marcos-alonso/
53,RED DEVILS LATEST,"Cristiano Ronaldo 'holds Galatasaray talks', Sesko dialogue ongoing",https://www.thesun.co.uk/sport/19259195/man-utd-transfer-news-live-cristiano-ronaldo-sesko-gakpo-antony/
54,WELL TONED,Topless Pulis takes summer break away from management in Caribbean with wife,https://www.thesun.co.uk/sport/football/19428781/topless-tony-pulis-wife-caribbean-break-football-management/
55,CRIS CROTCH,Ronaldo shows ripped physique in CR7 briefs with cryptic message amid quit saga,https://www.thesun.co.uk/sport/19331971/cristiano-ronaldo-ripped-physique-cr7-briefs/
56,PELLE OF THE BALL,Graziano Pelle’s stunning wife looks sensational in tiny bikini,https://www.thesun.co.uk/sport/football/19418053/southampton-graziano-pelle-wife-bikini/
57,KARREN BRADY,Once delirium of epic Euros win fades the women’s game has serious work to do,https://www.thesun.co.uk/sport/football/19432836/karren-brady-englands-euros-wsl/
58,NEIL CUSTIS,Ten Hag would tear hair out if he had any as sagas dampen pre-season positivity,https://www.thesun.co.uk/sport/football/19422184/man-utd-erik-ten-hag-pre-season-assessment/
59,MARK IRWIN,Only one winner in Ronaldo’s tussle with Man Utd and it won’t be Red Devils,https://www.thesun.co.uk/sport/football/19423083/man-utd-cristiano-ronaldo-transfer-exit-comment/
60,RED CARD,Footie fans slam Premier League teams for rip-off prices of garish new away kits,https://www.thesun.co.uk/sport/19433074/premier-league-away-kits-rip-fans-off/
61,'THINKS HE'S 18!',Richards hails Prem return by mocking Man Utd icon Gary Neville's CLOTHES,https://www.thesun.co.uk/sport/football/19432526/micah-richards-gary-neville-clothes-mocked-man-utd-sky/
62,ROYAL RECOGNITION,Russo's Euros boots worn for iconic backheel protected in Tower of London,https://www.thesun.co.uk/sport/19427639/alessia-russo-boots-euros-backheel-goal-tower-london/
63,CAPTAIN FANTASTIC,England hero Leah Williamson celebrates Euro win by heading out to Ibiza,https://www.thesun.co.uk/sport/football/19426978/england-leah-williamson-euro-ibiza-party/
64,WINGING IT,I was upgraded to business class after being mistaken for England hero Kelly,https://www.thesun.co.uk/sport/19417571/chloe-kelly-lookalike-england-euro-2022-business-class/
65,'IT'S NOT PRETTY',Fans left in stitches after scoreboard uses PAINT to show scoreline,https://www.thesun.co.uk/sport/football/19426595/madagascar-football-seychelles-paint-scoreboard/
