,title,subtitle,link
37,HANDS DOWN,Fans and Man Utd icon Ferdinand react to Arsenal ace Gabriel's handball v Palace,https://www.thesun.co.uk/sport/19433152/manchester-united-rio-ferdinand-arsenal-gabriel-crystal-palace/
38,SKY HIGH,Neville and Carragher neck shots as Sky Sports have huge pre-season party,https://www.thesun.co.uk/sport/football/19428087/gary-neville-jamie-carragher-sky-sports-party/
39,BLUE BLOW,Chelsea drop HUGE transfer hint after SIX stars are not given squad numbers,https://www.thesun.co.uk/sport/football/19424219/chelsea-drop-transfer-hint-squad-numbers-six-stars/
40,WRECK-QUIT RALPH,Hasenhuttl hints at quitting in two years to avoid being another Hodgson,https://www.thesun.co.uk/sport/17583690/ralph-hasenhuttl-southampton-roy-hodgson-quit/
41,KICK IN THE LEG,Leicester suffer huge blow as Ricardo Pereira ruled out for SIX MONTHS,https://www.thesun.co.uk/sport/19429842/leicester-pereira-injury-setback-ruptured-achilles/
42,HOT AND BOTHERED,Klopp compares fixture woe to climate crisis as stars face 76-game season,https://www.thesun.co.uk/sport/19434264/jurgen-klopp-liverpool-fixtures-climate-change/
43,TUCHY SUBJECT,Tuchel the MOANIEST manager in Prem ahead of Arteta with Klopp only 12th,https://www.thesun.co.uk/sport/football/19431298/chelsea-thomas-tuchel-moans-manager-arsenal-arteta-klopp/
44,J-TEASE,Chelsea icon Terry HUNG UP on first Koulibaly call as he thought it was PRANK,https://www.thesun.co.uk/sport/football/19430807/chelsea-terry-kalidou-koulibaly-phone-call-prank-fear/
45,MATT'S ALL FOLKS,Chelsea outcast Miazga joins Cincinatti after TWO appearances in six years,https://www.thesun.co.uk/sport/football/19426429/chelsea-miazga-cincinnati-transfer/
46,KNOW THE SCORE,Spurs man Allen hit 49 goals one season - but which Prem ace could beat it?,https://www.thesun.co.uk/sport/football/19430157/tottenham-clive-allen-record-goals-haaland-kane-nunez-ronaldo/
47,WELL I NEV-ER,Neville predicts sixth for Man Utd and says top four would be ‘outstanding’,https://www.thesun.co.uk/sport/football/19434913/gary-neville-man-utd-champions-league-ten-hag/
48,BRING THE PARTY,Get 100% deposit bonus up to £400 & £40 FREE PLAY with Party Poker,https://www.thesun.co.uk/sport/betting-tips/19283142/party-poker-new-customer-offer-deposit-bonus/
49,RACING DEAL,Horse racing - FREE BETS: Get £30 bonus with Betfair today - 18+ T&Cs apply,https://www.thesun.co.uk/sport/horseracing/18796015/betfair-free-bets-horse-racing-betting-offers-uk-bonus/
50,BET BOOST,"Get £30 in FREE BETS on Chelsea, Liverpool or Spurs fixtures with William Hill",https://www.thesun.co.uk/sport/betting-tips/15950527/william-hill-free-bets-code-football-chelsea-tottenham-liverpool/
51,GUNNERS NEWS,"Moussa Diaby deal gets GREEN LIGHT, Tielemans boost as Aouar deal lined up",https://www.thesun.co.uk/sport/19404272/arsenal-transfer-news-live-moussa-diaby-tielemans-aouar/
52,CHELSEA LATEST,De Jong 'to leave Barcelona NEXT WEEK as Blues launch £59m-plus-Alonso bid',https://www.thesun.co.uk/sport/19207345/chelsea-transfer-news-live-frenkie-de-jong-fofana-marcos-alonso/
53,RED DEVILS LATEST,"Cristiano Ronaldo 'holds Galatasaray talks', Sesko dialogue ongoing",https://www.thesun.co.uk/sport/19259195/man-utd-transfer-news-live-cristiano-ronaldo-sesko-gakpo-antony/
54,WELL TONED,Topless Pulis takes summer break away from management in Caribbean with wife,https://www.thesun.co.uk/sport/football/19428781/topless-tony-pulis-wife-caribbean-break-football-management/
55,CRIS CROTCH,Ronaldo shows ripped physique in CR7 briefs with cryptic message amid quit saga,https://www.thesun.co.uk/sport/19331971/cristiano-ronaldo-ripped-physique-cr7-briefs/
56,PELLE OF THE BALL,Graziano Pelle’s stunning wife looks sensational in tiny bikini,https://www.thesun.co.uk/sport/football/19418053/southampton-graziano-pelle-wife-bikini/
57,KARREN BRADY,Once delirium of epic Euros win fades the women’s game has serious work to do,https://www.thesun.co.uk/sport/football/19432836/karren-brady-englands-euros-wsl/
58,NEIL CUSTIS,Ten Hag would tear hair out if he had any as sagas dampen pre-season positivity,https://www.thesun.co.uk/sport/football/19422184/man-utd-erik-ten-hag-pre-season-assessment/
59,MARK IRWIN,Only one winner in Ronaldo’s tussle with Man Utd and it won’t be Red Devils,https://www.thesun.co.uk/sport/football/19423083/man-utd-cristiano-ronaldo-transfer-exit-comment/
60,RED CARD,Footie fans slam Premier League teams for rip-off prices of garish new away kits,https://www.thesun.co.uk/sport/19433074/premier-league-away-kits-rip-fans-off/
61,'THINKS HE'S 18!',Richards hails Prem return by mocking Man Utd icon Gary Neville's CLOTHES,https://www.thesun.co.uk/sport/football/19432526/micah-richards-gary-neville-clothes-mocked-man-utd-sky/
62,ROYAL RECOGNITION,Russo's Euros boots worn for iconic backheel protected in Tower of London,https://www.thesun.co.uk/sport/19427639/alessia-russo-boots-euros-backheel-goal-tower-london/
63,CAPTAIN FANTASTIC,England hero Leah Williamson celebrates Euro win by heading out to Ibiza,https://www.thesun.co.uk/sport/football/19426978/england-leah-williamson-euro-ibiza-party/
64,WINGING IT,I was upgraded to business class after being mistaken for England hero Kelly,https://www.thesun.co.uk/sport/19417571/chloe-kelly-lookalike-england-euro-2022-business-class/
65,'IT'S NOT PRETTY',Fans left in stitches after scoreboard uses PAINT to show scoreline,https://www.thesun.co.uk/sport/football/19426595/madagascar-football-seychelles-paint-scoreboard/
